genus;english_cname;species;Family;check;Description;Link;Img
Eudynamys;Asian koel;E scolopaceus;Cuculidae;Escolopaceus;The Asian koel (Eudynamys scolopaceus) is a member of the cuckoo order of birds  the Cuculiformes. It is found in the Indian Subcontinent  China  and Southeast Asia. It forms a superspecies with the closely related black-billed koels  and Pacific koels which are sometimes treated as subspecies. For more information: ;https://en.wikipedia.org/wiki/Asian_koel;https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Eudynamys_scolopacea_-_20080801.jpg/220px-Eudynamys_scolopacea_-_20080801.jpg
Milvus;Black kite;M_migrans;Accipitridae;Mmigrans;"The black kite (Milvus migrans) is a medium-sized bird of prey in the family Accipitridae, which also includes many other diurnal raptors. It is thought to be the world's most abundant species of Accipitridae, although some populations have experienced dramatic declines or fluctuations.
For more information: ";https://en.wikipedia.org/wiki/Black_kite;https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Schwarzmilan.jpg/220px-Schwarzmilan.jpg
Cyanoptila;Flycatcher;C_cyanomelana;Muscicapidae;Ccyanomelana;The blue-and-white flycatcher (Cyanoptila cyanomelana) is a migratory songbird in the Old World flycatcher family Muscicapidae. The species is also known as the Japanese flycatcher. For more information:;https://en.wikipedia.org/wiki/Blue-and-white_flycatcher;https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Blue_and_white_flycatcher.jpg/220px-Blue_and_white_flycatcher.jpg
Corvus;Crow;ravens;Corvidae;ravens;"Corvus is a widely distributed genus of medium-sized to large birds in the family Corvidae. The genus includes species commonly known as crows, ravens and rooks; there is no consistent distinction between ""crows"" and ""ravens"", and these appellations have been assigned to different species chiefly on the basis of their size, crows generally being smaller than ravens.
For more information: ";https://en.wikipedia.org/wiki/Corvus;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Corvus-brachyrhynchos-001.jpg/220px-Corvus-brachyrhynchos-001.jpg
Buteogallus;Hawk;Gray-backed-hawk;Accipitridae;Graybackedhawk;"Hawks are a group of medium-sized diurnal birds of prey of the family Accipitridae. Hawks are widely distributed and vary greatly in size. The common names of some birds include the term ""hawk"", reflecting traditional usage rather than taxonomy. For example, some people may call an osprey a ""fish hawk"" or a peregrine falcon a ""duck hawk"".
For more information:";https://en.wikipedia.org/wiki/Hawk;https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Red-tailed_Hawk.jpg/220px-Red-tailed_Hawk.jpg
Ardea;Great blue heron;A_herodias;Ardeidae;Aherodias;"The great blue heron (Ardea herodias) is a large wading bird in the heron family Ardeidae, common near the shores of open water and in wetlands over most of North America and Central America, as well as the Caribbean and the Galápagos Islands. It is a rare vagrant to coastal Spain, the Azores, and areas of far southern Europe. An all-white population found in south Florida and the Florida Keys is known as the great white heron.
For more information:";https://en.wikipedia.org/wiki/Great_blue_heron;https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Great_blue_heron_%28Ardea_herodias_occidentalis%29_white_form.JPG/220px-Great_blue_heron_%28Ardea_herodias_occidentalis%29_white_form.JPG
Baeolophus;Juniper titmouse;B_ridgwayi;Paridae;Bridgwayi;"The juniper titmouse (Baeolophus ridgwayi) is a passerine bird in the tit family Paridae. The American Ornithologists' Union split the plain titmouse into the oak titmouse and the juniper titmouse in 1996, due to distinct differences in song, preferred habitat, and genetic makeup. The juniper titmouse is a small, gray bird with small tuft or crest. The face is plain, and the undersides are a lighter gray. Sexes are similar.
For more information: ";https://en.wikipedia.org/wiki/Juniper_titmouse;https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Juniper_Titmouse2.jpg/220px-Juniper_Titmouse2.jpg
Alcedo;Kingfisher;A_atthis;Alcedinidae;Aatthis;"Kingfishers or Alcedinidae are a family of small to medium-sized, brightly colored birds in the order Coraciiformes. They have a cosmopolitan distribution, with most species found in the tropical regions of Africa, Asia, and Oceania. The family contains 114 species and is divided into three subfamilies and 19 genera. All kingfishers have large heads, long, sharp, pointed bills, short legs, and stubby tails. Most species have bright plumage with only small differences between the sexes.
For more information:";https://en.wikipedia.org/wiki/Kingfisher;https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Alcedo_azurea_-_Julatten.jpg/220px-Alcedo_azurea_-_Julatten.jpg
Strix;Rufous-banded Owl;S_albitarsis;Strigidae;Salbitarsis;"The rufous-banded owl (Strix albitarsis) is a species of owl in the family Strigidae. It is found in Bolivia, Colombia, Ecuador, Peru, and Venezuela.Its natural habitat is subtropical or tropical moist montane forests.
For more information: ";https://en.wikipedia.org/wiki/Rufous-banded_owl;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Ciccaba_albitarsis_Buho_ocelado_Rufous-banded_Owl_%2828009257216%29.jpg/220px-Ciccaba_albitarsis_Buho_ocelado_Rufous-banded_Owl_%2828009257216%29.jpg
Pavo;Indain peafowl;P_cristatus;Phasianidae;Pcristatus;"The Indian peafowl (Pavo cristatus), also known as the common peafowl, and blue peafowl, is a peafowl species native to the Indian subcontinent. It has been introduced to many other countries.The male peacock is brightly coloured, with a predominantly blue fan-like crest of spatula-tipped wire-like feathers and is best known for the long train made up of elongated upper-tail covert feathers which bear colourful eyespots. These stiff feathers are raised into a fan and quivered in a display during courtship. Despite the length and size of these covert feathers, peacocks are still capable of flight.
For more information: ";https://en.wikipedia.org/wiki/Indian_peafowl;https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Peacock%2C_East_Park%2C_Hull_-_panoramio.jpg/220px-Peacock%2C_East_Park%2C_Hull_-_panoramio.jpg
Phylloscopus;Sakhalin Leaf Warbler;P_borealoides;Phylloscopidae;Pborealoides;"The Sakhalin leaf warbler (Phylloscopus borealoides) is a species of Old World warbler in the family Phylloscopidae. It is found in Sakhalin, the Kuril Islands and Japan; it winters to the Amami and Okinawa islands.Its natural habitat is temperate forests.
For more information: ";https://en.wikipedia.org/wiki/Sakhalin_leaf_warbler;https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Sakhalin_Leaf-warbler.jpg/220px-Sakhalin_Leaf-warbler.jpg
Zonotrichia;White crowned sparrow;Z _leucophrys;Passerellidae;Zleucophrys;"The white-crowned sparrow (Zonotrichia leucophrys) is a species of passerine bird native to North America. A medium-sized member of the American sparrow family, this species is marked by a grey face and black and white streaking on the upper head. It breeds in brushy areas in the taiga and tundra of the northernmost parts of the continent and in the Rocky Mountains and Pacific coast.
For more information: ";https://en.wikipedia.org/wiki/White-crowned_sparrow;https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/White-crowned-Sparrow.jpg/220px-White-crowned-Sparrow.jpg
Campephilus;Woodpecker;C_pollens;Picidae;Cpollens;"Woodpeckers are part of the family Picidae, that also includes the piculets, wrynecks, and sapsuckers. Members of this family are chiefly known for their characteristic behaviour. They mostly forage for insect prey on the trunks and branches of trees, and often communicate by drumming with their beak, producing a reverberatory sound that can be heard at some distance. Some species vary their diet with fruits, birds' eggs, small animals, and tree sap, human scraps, and carrion.
For more information:";https://en.wikipedia.org/wiki/Woodpecker;https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Woodpecker_20040529_151837_1c_cropped.JPG/220px-Woodpecker_20040529_151837_1c_cropped.JPG
Copsychus;Indian robin;C. fulicatus;Muscicapidae;Cfulicatus;"The Indian robin (Copsychus fulicatus) is a species of bird in the family Muscicapidae. It is widespread in the Indian subcontinent and ranges across Bangladesh, Bhutan, India, Nepal, Pakistan and Sri Lanka. The males of the northern subspecies have brown backs whose extent gradually reduces southwards, with the males of the southern subspecies having all-black backs. 
For more information:";https://en.wikipedia.org/wiki/Indian_robin;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Indian_robin_%28Saxicoloides_fulicatus_cambaiensis%29_male.jpg/220px-Indian_robin_%28Saxicoloides_fulicatus_cambaiensis%29_male.jpg
Euodice;Indian silverbill;E. malabarica;Estrildidae;Emalabarica;"The Indian silverbill or white-throated munia (Euodice malabarica) is a small passerine bird found in the Indian Subcontinent and adjoining regions that was formerly considered to include the closely related African silverbill (Euodice cantans). This estrildid finch is a common resident breeding bird in the drier regions of the Middle East and the Indian Subcontinent. It has also been introduced into many other parts of the world and has become established in some areas. They forage in small flocks in grassland and scrub habitats.
For more information: ";https://en.wikipedia.org/wiki/Indian_silverbill;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Indian_Silverbill_Rajarhat_KolkataOutskirts_0001.jpg/220px-Indian_Silverbill_Rajarhat_KolkataOutskirts_0001.jpg
